Orthogroup	Mmicro	Mlepra
OG0000662	AMC58557.1	CAC29749.1
OG0000663	AMC58558.1	CAC29750.1
OG0000664	AMC58559.1	CAC29751.1
OG0000665	AMC58560.1	CAC29752.1
OG0000666	AMC58561.1	CAC29753.1
OG0000667	AMC58562.1	CAC29754.1
OG0000668	AMC58563.1	CAC29756.1
OG0000669	AMC58564.1	CAC29757.1
OG0000670	AMC58567.1	CAC29760.1
OG0000671	AMC58572.1	CAC29764.1
OG0000672	AMC58573.1	CAC29765.1
OG0000673	AMC58575.1	CAC29766.1
OG0000674	AMC58630.1	CAC31917.1
OG0000675	AMC58631.1	CAC31916.1
OG0000676	AMC58636.1	CAC31911.1
OG0000677	AMC58638.1	CAC31909.1
OG0000678	AMC58639.1	CAC31908.1
OG0000679	AMC58641.1	CAC31906.1
OG0000680	AMC58644.1	CAC31984.1
OG0000682	AMC58654.1	CAC30909.1
OG0000683	AMC58656.1	CAC30907.1
OG0000684	AMC58657.1	CAC30906.1
OG0000685	AMC58658.1	CAC30905.1
OG0000686	AMC58660.1	CAC30902.1
OG0000687	AMC58661.1	CAC30901.1
OG0000688	AMC58662.1	CAC30900.1
OG0000689	AMC58669.1	CAC30897.1
OG0000690	AMC58670.1	CAC30896.1
OG0000691	AMC58671.1	CAC30895.1
OG0000692	AMC58672.1	CAC30894.1
OG0000693	AMC58673.1	CAC30893.1
OG0000694	AMC58674.1	CAC30892.1
OG0000695	AMC58675.1	CAC30891.1
OG0000697	AMC58692.1	CAC31336.1
OG0000699	AMC58699.1	CAC31342.1
OG0000703	AMC58722.1	CAC30459.1
OG0000704	AMC58726.1	CAC30457.1
OG0000705	AMC58728.1	CAC30456.1
OG0000706	AMC58729.1	CAC30455.1
OG0000707	AMC58730.1	CAC30454.1
OG0000709	AMC58736.1	CAC30448.1
OG0000710	AMC58737.1	CAC30447.1
OG0000711	AMC58743.1	CAC30444.1
OG0000712	AMC58745.1	CAC30442.1
OG0000713	AMC58750.1	CAC30438.1
OG0000714	AMC58755.1	CAC31613.1
OG0000715	AMC58764.1	CAC31432.1
OG0000716	AMC58771.1	CAC31439.1
OG0000717	AMC58772.1	CAC31440.1
OG0000718	AMC58775.1	CAC31442.1
OG0000719	AMC58777.1	CAC31444.1
OG0000720	AMC58778.1	CAC31445.1
OG0000721	AMC58779.1	CAC31446.1
OG0000722	AMC58780.1	CAC31447.1
OG0000723	AMC58783.1	CAC31450.1
OG0000724	AMC58790.1	CAC31456.1
OG0000725	AMC58791.1	CAC31457.1
OG0000726	AMC58792.1	CAC31458.1
OG0000727	AMC58793.1	CAC31459.1
OG0000728	AMC58794.1	CAC31460.1
OG0000729	AMC58800.1	CAC31461.1
OG0000732	AMC58807.1	CAC31467.1
OG0000733	AMC58809.1	CAC31468.1
OG0000734	AMC58810.1	CAC31469.1
OG0000735	AMC58811.1	CAC31470.1
OG0000736	AMC58812.1	CAC31471.1
OG0000737	AMC58814.1	CAC31472.1
OG0000738	AMC58819.1	CAC31474.1
OG0000739	AMC58823.1	CAC31476.1
OG0000740	AMC58824.1	CAC31477.1
OG0000741	AMC58826.1	CAC31479.1
OG0000742	AMC58827.1	CAC31480.1
OG0000743	AMC58829.1	CAC31482.1
OG0000744	AMC58833.1, AMC58832.1	CAC31484.1
OG0000745	AMC58835.1	CAC31486.1
OG0000747	AMC58851.1	CAC31494.1
OG0000748	AMC58853.1	CAC31495.1
OG0000749	AMC58854.1	CAC31496.1
OG0000750	AMC58855.1	CAC31497.1
OG0000751	AMC58856.1	CAC31498.1
OG0000752	AMC58857.1	CAC31500.1
OG0000753	AMC58858.1	CAC31501.1
OG0000755	AMC58860.1	CAC31502.1
OG0000756	AMC58861.1	CAC31503.1
OG0000757	AMC58862.1	CAC31504.1
OG0000758	AMC58863.1	CAC31505.1
OG0000760	AMC58873.1	CAC31508.1
OG0000761	AMC58875.1	CAC31510.1
OG0000762	AMC58876.1	CAC31511.1
OG0000763	AMC58878.1	CAC31512.1
OG0000764	AMC58881.1	CAC31515.1
OG0000765	AMC58884.1	CAC31517.1
OG0000766	AMC58885.1	CAC31518.1
OG0000767	AMC58886.1	CAC31519.1
OG0000768	AMC58887.1	CAC31520.1
OG0000769	AMC58888.1	CAC31521.1
OG0000770	AMC58889.1	CAC31522.1
OG0000771	AMC58890.1	CAC31523.1
OG0000772	AMC58891.1	CAC31524.1
OG0000773	AMC58892.1	CAC31525.1
OG0000774	AMC58893.1	CAC31526.1
OG0000775	AMC58894.1	CAC31527.1
OG0000776	AMC58895.1	CAC31528.1
OG0000777	AMC58898.1	CAC31530.1
OG0000778	AMC58899.1	CAC31531.1
OG0000779	AMC58900.1	CAC31532.1
OG0000780	AMC58906.1	CAC31536.1
OG0000781	AMC58908.1	CAC31538.1
OG0000782	AMC58909.1	CAC31539.1
OG0000783	AMC58910.1	CAC31540.1
OG0000784	AMC58917.1	CAC31546.1
OG0000785	AMC58918.1	CAC31547.1
OG0000786	AMC58919.1	CAC31548.1
OG0000787	AMC58923.1	CAC31552.1
OG0000788	AMC58924.1	CAC31553.1
OG0000789	AMC58925.1	CAC31554.1
OG0000790	AMC58926.1	CAC31555.1
OG0000791	AMC58927.1	CAC31556.1
