Orthogroup	Mbovis	Mavium
OG0000266	ALV11137.1	AAS03534.1, AAS03650.1, AAS04789.1
OG0000268	ALV13014.1	AAS04194.1, AAS04375.1
OG0000269	ALV11200.1	AAS04206.1
OG0000270	ALV11222.1	AAS06396.1, AAS05617.1, AAS04228.1
OG0000272	ALV11238.1	AAS04249.1, AAS03090.1
OG0000273	ALV11240.1	AAS04251.1
OG0000274	ALV11246.1	AAS03738.1, AAS04258.1
OG0000275	ALV11260.1	AAS04274.1, AAS05613.1
OG0000276	ALV11284.1	AAS04312.1, AAS06227.1
OG0000277	ALV13038.1	AAS06087.1, AAS02662.1, AAS04374.1
OG0000278	ALV11366.1	AAS02684.1, AAS04422.1, AAS04421.1
OG0000279	ALV11382.1	AAS06323.1, AAS04456.1
OG0000280	ALV11397.1	AAS04485.1, AAS04484.1
OG0000281	ALV11398.1	AAS04486.1, AAS03736.1, AAS04189.1
OG0000282	ALV11410.1	AAS02431.1, AAS04174.1, AAS02407.1
OG0000283	ALV11438.1	AAS05231.1, AAS04642.1, AAS02466.1
OG0000284	ALV11485.1	AAS04998.1, AAS04607.1
OG0000286	ALV11532.1	AAS03987.1, AAS04639.1
OG0000287	ALV11538.1	AAS03984.1, AAS04651.1
OG0000288	ALV13073.1	AAS03366.1, AAS03367.1
OG0000289	ALV11659.1	AAS03742.1, AAS05108.1
OG0000290	ALV11672.1	AAS04922.1, AAS05124.1
OG0000291	ALV11681.1	AAS02701.1, AAS05133.1
OG0000292	ALV11723.1	AAS03182.1, AAS05176.1
OG0000293	ALV11817.1	AAS04185.1, AAS05232.1
OG0000294	ALV11855.1	AAS05270.1, AAS05687.1, AAS06837.1
OG0000295	ALV11890.1	AAS04493.1, AAS06295.1
OG0000296	ALV11937.1	AAS03739.1, AAS05567.1
OG0000297	ALV11938.1	AAS05568.1
OG0000298	ALV11942.1	AAS04573.1, AAS05573.1
OG0000299	ALV11943.1	AAS05574.1, AAS04572.1
OG0000300	ALV11949.1	AAS05581.1, AAS06230.1
OG0000301	ALV11986.1	AAS05840.1, AAS02404.1, AAS05632.1
OG0000302	ALV13129.1	AAS05635.1
OG0000303	ALV11991.1	AAS03930.1, AAS05641.1
OG0000304	ALV12008.1	AAS06001.1, AAS05675.1
OG0000305	ALV12044.1	AAS06281.1, AAS05720.1
OG0000307	ALV12099.1	AAS05771.1, AAS06441.1, AAS06098.1
OG0000308	ALV12102.1	AAS04027.1, AAS02401.1, AAS05777.1
OG0000309	ALV12136.1	AAS03798.1, AAS05862.1
OG0000311	ALV12176.1	AAS04232.1, AAS02798.1, AAS05916.1
OG0000312	ALV12191.1	AAS05934.1
OG0000313	ALV12194.1	AAS06610.1, AAS02444.1
OG0000314	ALV12204.1	AAS05954.1, AAS05190.1
OG0000315	ALV12207.1	AAS03813.1, AAS02700.1, AAS05958.1
OG0000316	ALV13169.1, ALV13167.1, ALV13165.1	AAS05972.1
OG0000317	ALV12241.1, ALV12224.1, ALV12258.1	AAS05977.1
OG0000318	ALV12261.1, ALV12227.1, ALV12244.1	AAS05981.1
OG0000319	ALV12262.1, ALV12228.1, ALV12245.1	AAS05982.1
OG0000320	ALV12266.1, ALV12249.1, ALV12232.1	AAS05989.1
OG0000321	ALV12286.1	AAS06004.1
OG0000322	ALV12341.1	AAS06279.1, AAS02555.1, AAS05683.1
OG0000323	ALV12387.1	AAS03109.1, AAS06776.1, AAS06777.1
OG0000324	ALV12389.1	AAS03282.1, AAS06774.1
OG0000325	ALV13197.1	AAS02896.1, AAS06115.1
OG0000326	ALV12425.1	AAS04697.1, AAS04705.1, AAS02867.1
OG0000327	ALV12476.1	AAS02813.1, AAS05686.1, AAS02996.1
OG0000328	ALV12525.1	AAS02747.1, AAS05796.1
OG0000329	ALV13215.1	AAS02986.1, AAS02740.1
